doc_id,file,n_tokens,n_gold,gold,tfidf_F1@5,tfidf_F1@10,tfidf_F1@20,tfidf_F1@50,tfidf_AP,tfidf_MRR,bbidf_F1@5,bbidf_F1@10,bbidf_F1@20,bbidf_F1@50,bbidf_AP,bbidf_MRR,textrank_F1@5,textrank_F1@10,textrank_F1@20,textrank_F1@50,textrank_AP,textrank_MRR,improvement_F1@10_pct
11,Orosco Tuesta Lesly Fiorela.pdf,3385,4,"oferta, satisfacción, turismo, turista",0.4444444444444445,0.4285714285714285,0.33333333333333337,0.14814814814814814,0.5346590909090909,1.0,0.4444444444444445,0.4285714285714285,0.33333333333333337,0.14814814814814814,0.423051948051948,0.5,0.4444444444444445,0.5714285714285715,0.33333333333333337,0.14814814814814814,0.5821428571428572,1.0,0.0
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",12865,6,"categorización, inventario, jerarquización, potencial, recurso, turístico",0.5454545454545454,0.37499999999999994,0.30769230769230765,0.17857142857142858,0.49051995363470763,1.0,0.3636363636363636,0.5,0.3846153846153846,0.17857142857142858,0.5243791296422875,1.0,0.3636363636363636,0.37499999999999994,0.30769230769230765,0.17857142857142858,0.486492673992674,1.0,33.33
15,Potencial turistico colcamar.pdf,3469,7,"amazonas, arqueológico, comunidad, natural, paisaje, sitio, turismo",0.3333333333333333,0.47058823529411764,0.29629629629629634,0.24561403508771928,0.3311731710227951,0.3333333333333333,0.16666666666666666,0.47058823529411764,0.29629629629629634,0.24561403508771928,0.31055025981134354,0.3333333333333333,0.3333333333333333,0.47058823529411764,0.4444444444444444,0.24561403508771928,0.36849816849816847,0.25,0.0
16,Public Management of Tourism in Tourist Satisfaction.pdf,2501,11,"archaeological, complex, kuelap, management, marketing, public, quality, satisfaction, service, tourism, tourist",0.625,0.761904761904762,0.5161290322580645,0.2622950819672131,0.7431780248237353,1.0,0.625,0.761904761904762,0.5161290322580645,0.2622950819672131,0.757619900061831,1.0,0.625,0.761904761904762,0.5161290322580645,0.2622950819672131,0.7435833490181317,1.0,0.0
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,6023,7,"acceso, básico, ingreso, pobreza, relación, servicio, turismo",0.16666666666666666,0.23529411764705882,0.2222222222222222,0.21052631578947367,0.1808894830687506,0.25,0.16666666666666666,0.23529411764705882,0.2222222222222222,0.21052631578947367,0.20120781828856363,0.3333333333333333,0.16666666666666666,0.11764705882352941,0.2222222222222222,0.21052631578947367,0.2901384368288938,1.0,0.0
18,Turismo rural comunitario en kuelap.pdf,879,5,"comunitario, desarrollo, rural, sostenible, turismo",0.4000000000000001,0.6666666666666666,0.4,0.18181818181818182,0.45777777777777773,0.3333333333333333,0.4000000000000001,0.6666666666666666,0.4,0.18181818181818182,0.45539682539682536,0.25,0.4000000000000001,0.6666666666666666,0.4,0.18181818181818182,0.4411111111111111,0.25,0.0
19,Turismo sostenioble.pdf,3051,6,"comunidad, desarrollo, infraestructura, nativo, sostenible, turismo",0.5454545454545454,0.625,0.4615384615384615,0.21428571428571425,0.5847582972582972,0.5,0.7272727272727272,0.7499999999999999,0.4615384615384615,0.21428571428571425,0.7861111111111111,1.0,0.7272727272727272,0.625,0.4615384615384615,0.21428571428571425,0.861111111111111,1.0,20.0
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,5248,9,"arqueológico, complejo, consumidor, costo, económico, excedente, individual, valoración, viaje",0.5714285714285714,0.5263157894736842,0.5517241379310346,0.27118644067796616,0.5500647500647502,0.5,0.42857142857142855,0.7368421052631577,0.5517241379310346,0.3050847457627119,0.6575774754346183,1.0,0.42857142857142855,0.4210526315789474,0.5517241379310346,0.27118644067796616,0.5075375891165366,1.0,40.0
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",2396,6,"alternativo, aventura, rural, sostenible, turismo, vivencial",0.1818181818181818,0.125,0.07692307692307691,0.14285714285714285,0.10334487800589498,0.2,0.1818181818181818,0.125,0.07692307692307691,0.14285714285714285,0.15582359305689708,0.5,0.1818181818181818,0.25,0.23076923076923075,0.14285714285714285,0.2875729899319169,1.0,0.0
22,capacidad de carga turística.pdf,6033,4,"capacidad, carga, conservación, turismo",0.4444444444444445,0.4285714285714285,0.24999999999999997,0.1111111111111111,0.35064655172413794,0.5,0.4444444444444445,0.4285714285714285,0.24999999999999997,0.1111111111111111,0.28297619047619044,0.25,0.22222222222222224,0.4285714285714285,0.24999999999999997,0.14814814814814814,0.28041666666666665,0.3333333333333333,0.0
23,estategias de marketin. desarrollo turistico.pdf,5933,10,"agencias, correlacional, desarrollo, distrito, estrategias, estudio, levanto, marketing, turístico, viaje",0.4,0.4000000000000001,0.4,0.26666666666666666,0.5135848293863,1.0,0.4,0.5,0.4,0.26666666666666666,0.5230093393289519,1.0,0.5333333333333333,0.5,0.3333333333333333,0.26666666666666666,0.5323571344409096,1.0,25.0
24,festividades folkloricas y actividades turisticas.pdf,5801,6,"actividad, festividad, folclore, folclórico, turismo, turístico",0.7272727272727272,0.5,0.4615384615384615,0.21428571428571425,0.7379084967320261,1.0,0.5454545454545454,0.625,0.4615384615384615,0.21428571428571425,0.731203007518797,1.0,0.7272727272727272,0.625,0.3846153846153846,0.21428571428571425,0.6644179894179895,1.0,25.0
25,guias de turismo en chachapoyas.pdf,5142,6,"calidad, guía, satisfacción, servicio, turismo, turista",0.9090909090909091,0.7499999999999999,0.4615384615384615,0.21428571428571425,0.9761904761904762,1.0,0.9090909090909091,0.7499999999999999,0.4615384615384615,0.21428571428571425,1.0,1.0,0.9090909090909091,0.7499999999999999,0.4615384615384615,0.21428571428571425,1.0,1.0,0.0
26,identidad cultural y artesania.pdf,5313,4,"artesanir, cultural, identidad, textil",0.6666666666666665,0.4285714285714285,0.33333333333333337,0.14814814814814814,0.8166666666666667,1.0,0.6666666666666665,0.4285714285714285,0.33333333333333337,0.14814814814814814,0.7463235294117647,1.0,0.6666666666666665,0.4285714285714285,0.24999999999999997,0.14814814814814814,0.7732558139534884,1.0,0.0
27,paisajes culturales.pdf,7064,7,"actor, cultural, desarrollo, local, paisajes, turista, turístico",0.5,0.47058823529411764,0.4444444444444444,0.21052631578947367,0.5229846269216347,1.0,0.5,0.3529411764705882,0.4444444444444444,0.21052631578947367,0.5525004596433168,1.0,0.5,0.47058823529411764,0.37037037037037035,0.21052631578947367,0.4817398119640814,1.0,-25.0
28,percepción del impacto.pdf,2336,7,"ambiental, conservación, desarrollo, impacto, percepción, sostenible, turismo",0.16666666666666666,0.3529411764705882,0.4444444444444444,0.24561403508771928,0.31759431045145325,0.25,0.16666666666666666,0.47058823529411764,0.4444444444444444,0.24561403508771928,0.40915028725587727,0.5,0.3333333333333333,0.588235294117647,0.5185185185185185,0.24561403508771928,0.5524743230625583,1.0,33.33
29,pilasres del turismo.pdf,9315,5,"administración, ahp, pilar, público, turismo",0.4000000000000001,0.4,0.24,0.1090909090909091,0.3185100845803513,0.5,0.6,0.4,0.24,0.14545454545454545,0.40635241951031426,0.5,0.6,0.4,0.24,0.1090909090909091,0.3377354548376728,0.5,0.0
30,redes sociales y turismo.pdf,4142,4,"redes, social, turismo, venta",0.4444444444444445,0.28571428571428575,0.24999999999999997,0.14814814814814814,0.5303030303030303,1.0,0.4444444444444445,0.4285714285714285,0.24999999999999997,0.14814814814814814,0.49166666666666664,1.0,0.4444444444444445,0.4285714285714285,0.24999999999999997,0.1111111111111111,0.5404761904761904,1.0,50.0
31,turismo alternativo.folklore.pdf,10747,8,"alternativo, diversificación, estrategia, folclore, funerario, oferta, turismo, turístico",0.4615384615384615,0.4444444444444445,0.4285714285714285,0.20689655172413793,0.581670124134239,1.0,0.4615384615384615,0.5555555555555556,0.4285714285714285,0.20689655172413793,0.5784680823248168,1.0,0.3076923076923077,0.5555555555555556,0.4285714285714285,0.20689655172413793,0.4555913209689013,1.0,25.0
32,turismo comunitario.san bartolo.pdf,9171,4,"comunitario, desarrollo, sostenible, turismo",0.4444444444444445,0.5714285714285715,0.33333333333333337,0.14814814814814814,0.6845238095238095,1.0,0.6666666666666665,0.5714285714285715,0.33333333333333337,0.14814814814814814,0.6458333333333333,0.5,0.6666666666666665,0.5714285714285715,0.33333333333333337,0.14814814814814814,0.7333333333333333,1.0,0.0
